Year,Minimum_Wage,Living_Wage
1970,1.55,
1971,1.55,
1972,1.55,
1973,1.9,
1974,2,
1975,2.5,
1976,2.75,
1977,3,
1978,3,
1979,3,
1980,3.5,
1981,3.8,
1982,3.8,
1983,3.8,
1984,3.8,
1985,3.8,
1986,3.8,
1987,3.8,
1988,4.5,
1989,4.5,
1990,4.5,
1991,4.5,
1992,5,
1993,5,
1994,5,
1995,5,
1996,5,
1997,5,
1998,5.4,
1999,5.9,
2000,5.9,
2001,5.9,
2002,5.9,
2003,5.9,
2004,5.9,
2005,7,
2006,7,
2007,8,
2008,8.4,
2009,8.8,
2010,8.8,
2011,9.4,
2012,9.75,
2013,9.95,
2014,10.2,13.83333333
2015,11.2,14.7375
2016,12.2,15.794
2017,13.6,15.8
2018,15,15.846
2019,15,15.854
2020,15,15.854
2021,15,20.87916667
2022,15,22.325
2023,15,22.346875
